Accession1,Accession2,Similarity_Score
P35346,P30872,0.42
P35346,Q28044,0.15
P35346,Q96P68,0.14
P35346,P30556,0.2
P35346,O70526,0.17
P35346,Q96LB2,0.08
P35346,P35462,0.11
P35346,P51681,0.17
P35346,P20272,0.07
P35346,P49288,0.14
P35346,Q02152,0.09
P35346,P22086,0.1
P35346,P16610,0.15
P35346,Q01718,0.06
P35346,P34981,0.13
P35346,P97583,0.14
P35346,Q61224,0.1
P35346,Q9NPC1,0.11
P35346,P35363,0.11
P35346,Q9EPX4,0.12
P35346,P25025,0.14
P35346,P28564,0.09
P35346,P32238,0.12
P35346,Q9Y271,0.13
P35346,P35351,0.17
P35346,P08173,0.1
P35346,P43253,0.07
P35346,Q8K418,0.16
P35346,O95136,0.09
P35346,P21730,0.15
P35346,P79400,0.08
P35346,Q64264,0.09
P35346,P30935,0.43
P35346,P0DMS8,0.07
P35346,P32745,0.45
P35346,Q9HC97,0.13
P35346,P08482,0.1
P35346,P46616,0.11
P35346,P12657,0.1
P35346,P35367,0.11
P35346,P51678,0.18
P35346,Q9JII9,0.13
P35346,Q8MJ89,0.24
P35346,Q9WV26,0.2
P35346,Q99P50,0.15
P35346,Q3BCU0,0.14
P35346,Q62758,0.14
P35346,P32239,0.11
P35346,P21451,0.13
P35346,P47747,0.14
P35346,P35370,0.29
P35346,Q15761,0.08
P35346,Q64077,0.14
P35346,Q63384,0.07
P35346,P08913,0.11
P35346,Q8VIH9,0.12
P35346,Q5DUB1,0.14
P35346,P23944,0.14
P35346,P32211,0.1
P35346,P33766,0.15
P35346,P30553,0.11
P35346,P21729,0.13
P35346,P29274,0.1
P35346,P32304,0.11
P35346,Q01337,0.1
P35346,P30548,0.14
P35346,P25106,0.17
P35346,P46002,0.1
P35346,Q969V1,0.21
P35346,P43119,0.07
P35346,Q9ESG6,0.1
P35346,P21728,0.14
P35346,O43603,0.22
P35346,P79350,0.32
P35346,P49285,0.14
P35346,P41597,0.18
P35346,P14842,0.11
P35346,Q6IYF9,0.15
P35346,O88319,0.09
P35346,P47898,0.11
P35346,P50130,0.14
P35346,Q9UKP6,0.13
P35346,P35463,0.13
P35346,P46626,0.09
P35346,P30559,0.13
P35346,P61169,0.13
P35346,P20288,0.13
P35346,P21556,0.11
P35346,P29089,0.2
P35346,Q99705,0.24
P35346,P35365,0.1
P35346,Q13304,0.18
P35346,Q15722,0.14
P35346,P41143,0.28
P35346,P33533,0.28
P35346,Q96P65,0.16
P35346,P52702,0.13
P35346,P07550,0.15
P35346,P25102,0.13
P35346,P30969,0.08
P35346,P30411,0.17
P35346,O15552,0.07
P35346,P35372,0.31
P35346,P30729,0.07
P35346,P50052,0.17
P35346,P30875,0.52
P35346,O08786,0.12
P35346,P31391,0.43
P35346,P41968,0.07
P35346,P31389,0.1
P35346,P32302,0.16
P35346,Q2NNR5,0.14
P35346,P25116,0.13
P35346,P25105,0.09
P35346,Q63931,0.12
P35346,Q80Z39,0.14
P35346,P13945,0.11
P35346,Q923Y8,0.1
P35346,P97639,0.24
P35346,Q5KSK8,0.12
P35346,P22888,0.08
P35346,Q8TDS4,0.14
P35346,O70528,0.14
P35346,Q60484,0.13
P35346,Q3U6B2,0.16
P35346,P49660,0.44
P35346,Q9UBY5,0.06
P35346,P30547,0.14
P35346,P35345,0.07
P35346,P49146,0.17
P35346,P28222,0.1
P35346,O54798,0.15
P35346,P30545,0.11
P35346,P43140,0.16
P35346,P54833,0.16
P35346,P35383,0.15
P35346,P28223,0.12
P35346,Q60614,0.11
P35346,Q15077,0.14
P35346,P25929,0.16
P35346,O88410,0.13
P35346,P20789,0.09
P35346,Q95254,0.14
P35346,O14842,0.07
P35346,P47746,0.07
P35346,Q9BDS8,0.16
P35346,Q9Y5Y4,0.1
P35346,P49892,0.07
P35346,P49681,0.28
P35346,P30098,0.12
P35346,Q9Y2T6,0.1
P35346,P26684,0.11
P35346,Q8TCW9,0.14
P35346,P30552,0.11
P35346,Q14330,0.1
P35346,P25104,0.2
P35346,P30680,0.52
P35346,Q7TQP3,0.08
P35346,Q9EP66,0.14
P35346,P18871,0.12
P35346,P30940,0.08
P35346,P32245,0.07
P35346,P11229,0.1
P35346,P21452,0.15
P35346,P42866,0.31
P35346,P23945,0.07
P35346,Q1ZY22,0.16
P35346,P61073,0.21
P35346,P35377,0.29
P35346,Q7TQN9,0.07
P35346,Q9Z2J6,0.1
P35346,O08725,0.15
P35346,P32247,0.15
P35346,P35348,0.16
P35346,P08100,0.14
P35346,Q29010,0.11
P35346,Q91ZY2,0.07
P35346,Q8TDV5,0.09
P35346,Q01717,0.12
P35346,P32300,0.28
P35346,P50129,0.12
P35346,O08565,0.22
P35346,P69332,0.11
P35346,P32244,0.07
P35346,P51684,0.2
P35346,P48302,0.13
P35346,P28190,0.08
P35346,P25103,0.14
P35346,Q96RJ0,0.11
P35346,P30550,0.12
P35346,P26255,0.14
P35346,P47901,0.13
P35346,P30518,0.13
P35346,Q8K4Z4,0.15
P35346,P28565,0.12
P35346,P30542,0.09
P35346,P25115,0.14
P35346,Q9H3N8,0.07
P35346,P34976,0.19
P35346,Q61618,0.08
P35346,P34975,0.29
P35346,Q91ZY1,0.06
P35346,P61814,0.17
P35346,P97520,0.17
P35346,O43193,0.13
P35346,P25101,0.11
P35346,P18901,0.14
P35346,O08858,0.67
P35346,P41145,0.28
P35346,P35414,0.22
P35346,P51675,0.17
P35346,P30989,0.1
P35346,P14600,0.14
P35346,P21453,0.09
P35346,Q13639,0.13
P35346,P33535,0.31
P35346,Q96P88,0.08
P35346,Q9TT96,0.14
P35346,P35368,0.13
P35346,O95665,0.07
P35346,P08909,0.11
P35346,Q923Y9,0.1
P35346,Q6W5P4,0.09
P35346,Q60613,0.1
P35346,P50406,0.11
P35346,P25095,0.2
P35346,P28335,0.1
P35346,P48974,0.13
P35346,Q9JI35,0.09
P35346,O08556,0.17
P35346,Q9QYN8,0.09
P35346,Q63371,0.12
P35346,Q61614,0.11
P35346,O70342,0.08
P35346,P30551,0.12
P35346,P29371,0.15
P35346,P51682,0.19
P35346,P14416,0.12
P35346,Q9MYW9,0.32
P35346,P08912,0.09
P35346,Q8JZL2,0.24
P35346,P47900,0.15
P35346,P49684,0.13
P35346,P28221,0.12
P35346,P21918,0.13
P35346,Q62805,0.2
P35346,Q9NS75,0.18
P35346,P24530,0.14
P35346,P02699,0.15
P35346,P32249,0.17
P35346,P20309,0.09
P35346,P49286,0.15
P35346,P51686,0.18
P35346,Q9ERZ3,0.09
P06478,P13159,0.26
P06478,Q9QNF7,0.99
P06478,P03176,0.98
P06478,P24425,0.29
P06478,P09250,0.22
P06478,P06479,0.98
P06478,P0C0E6,0.22
Q13085,P05166,0.02
Q13085,P05165,0.05
Q13085,E9Q4Z2,0.74
Q13085,O00763,0.75
Q13085,P27708,0.01
Q13085,P11498,0.04
Q13085,P31327,0.01
Q13085,Q5SWU9,0.98
Q13085,P24182,0.05
Q13085,Q8GBW6,0.01
Q13085,P11497,0.98
Q13085,Q96RQ3,0.05
Q9RX51,P80099,0.04
Q9RX51,O69007,0.05
Q9RX51,P38940,0.05
Q9RX51,P07265,0.05
Q9RX51,Q08751,0.05
Q9RX51,P53051,0.05
Q9RX51,P53341,0.05
P15428,P16544,0.16
P15428,Q96NR8,0.09
P15428,Q8NBQ5,0.16
P15428,Q9BY49,0.14
P15428,Q6PKH6,0.1
P15428,Q9HBH5,0.09
P15428,P37058,0.11
P15428,P0AEK2,0.19
P15428,Q99714,0.16
P15428,Q6UWP2,0.13
P15428,Q8TC12,0.09
P15428,P51658,0.1
P15428,O54939,0.11
P15428,P14061,0.11
P15428,Q92506,0.16
P15428,P0CG22,0.09
P15428,Q92781,0.09
P15428,P0AET8,0.12
P15428,P28845,0.09
P15428,P70385,0.11
P15428,Q7Z4W1,0.11
P15428,Q8NBN7,0.11
P15428,P37059,0.08
P15428,Q9BTZ2,0.14
P15428,P19992,0.14
P15428,Q84EX5,0.19
P15428,Q8I814,0.09
P15428,P51659,0.12
P15428,Q48436,0.17
P15428,O14756,0.11
P15428,P50172,0.08
P15428,Q9WYS2,0.16
P0A6J8,Q5HEB7,0.4
O00341,P43005,0.4
O00341,P51907,0.4
O00341,Q15758,0.29
O00341,P43007,0.33
O00341,P31596,0.39
O00341,P48664,0.46
O00341,P43004,0.38
O00341,P24942,0.46
O00341,P43003,0.46
Q9RA47,P0AEZ1,0.33
Q9RA47,P42898,0.33
P18434,P05027,0.24
P18434,P54709,0.3
P18434,P06583,0.25
P18434,P14415,0.37
P18434,P51164,0.88
P18434,P05026,0.25
P03962,P11172,0.45
P14532,P83787,0.64
P10144,P04070,0.17
P10144,O00187,0.13
P10144,Q63207,0.17
P10144,Q9Y5Y6,0.17
P10144,P00775,0.14
P10144,Q9NRS4,0.16
P10144,P08311,0.51
P10144,Q16651,0.2
P10144,P00742,0.16
P10144,Q9NRR2,0.2
P10144,P08419,0.21
P10144,P00763,0.29
P10144,P00760,0.29
P10144,P00747,0.21
P10144,P00743,0.17
P10144,Q99895,0.19
P10144,P17538,0.2
P10144,P00766,0.21
P10144,P10323,0.17
P10144,Q01177,0.19
P10144,P14210,0.15
P10144,P00736,0.18
P10144,P00774,0.21
P10144,P49862,0.24
P10144,O19045,0.15
P10144,P03951,0.18
P10144,P35030,0.26
P10144,Q92876,0.25
P10144,P18292,0.12
P10144,P00735,0.13
P10144,P08217,0.21
P10144,P23946,0.46
P10144,P08519,0.19
P10144,Q9Y337,0.23
P10144,P20231,0.2
P10144,Q9P0G3,0.31
P10144,P00746,0.29
P10144,P19221,0.13
P10144,P09871,0.13
P10144,P06870,0.26
P10144,P00761,0.28
P10144,P00772,0.22
P10144,Q61096,0.26
P10144,P00734,0.14
P10144,P00749,0.18
P10144,P06869,0.18
P10144,P28293,0.52
P10144,Q14520,0.19
P10144,P00750,0.17
P10144,Q29463,0.27
P10144,Q3UP87,0.25
P10144,P03952,0.18
P10144,P29598,0.17
P10144,P08709,0.16
P10144,P07288,0.23
P10144,Q15661,0.2
P10144,Q9UNI1,0.23
P10144,P24158,0.29
P10144,P07478,0.25
P10144,P07477,0.29
P10144,P00740,0.2
P10144,Q9BZJ3,0.16
P10144,P00751,0.11
P10144,Q9Y5K2,0.24
P10144,P05981,0.2
P10144,P20918,0.2
P10144,P00748,0.18
P10144,P08246,0.24
P10144,P04185,0.18
Q80UJ1,O70577,0.21
Q80UJ1,O15245,0.21
Q80UJ1,O70594,0.2
Q80UJ1,O88446,0.21
Q80UJ1,O35956,0.44
Q80UJ1,Q7L0J3,0.06
Q80UJ1,Q8VC69,0.43
Q80UJ1,O75751,0.21
Q80UJ1,Q4U2R8,0.44
Q80UJ1,O15244,0.2
Q80UJ1,O76082,0.21
Q80UJ1,Q9R1U7,0.43
Q80UJ1,Q9R0W2,0.22
Q80UJ1,Q3ZAV1,0.37
Q80UJ1,Q96S37,0.36
Q80UJ1,Q8TCC7,0.43
Q80UJ1,Q63089,0.22
Q80UJ1,Q9R141,0.19
Q80UJ1,Q9NSA0,0.38
Q80UJ1,Q9Y694,0.3
Q80UJ1,O08966,0.22
Q80UJ1,Q9H015,0.18
O54814,P41231,0.14
O54814,P37288,0.06
O54814,P18825,0.08
O54814,Q9H1C0,0.14
O54814,P29276,0.09
O54814,P30939,0.08
O54814,Q9H244,0.12
O54814,P51582,0.15
O54814,Q16581,0.09
O54814,P21462,0.16
O54814,P15823,0.08
O54814,Q6Y1R5,0.16
O54814,P18841,0.08
O54814,P08485,0.07
O54814,Q8BLD9,0.09
O54814,Q61616,0.08
O54814,Q63634,0.11
O54814,P21761,0.11
O54814,P46663,0.17
O54814,P19020,0.07
O54814,P25024,0.21
O54814,P32248,0.24
O54814,P35346,0.17
O54814,O08726,0.17
O54814,P10608,0.09
O54814,P06199,0.07
O54814,P22909,0.08
O54814,P51680,0.41
O54814,P41146,0.19
O54814,P18130,0.08
O54814,P50391,0.1
O54814,P08483,0.08
O54814,P30873,0.19
O54814,Q00788,0.08
O54814,P18089,0.08
O54814,P32305,0.06
O54814,Q01338,0.08
O54814,P49652,0.15
O54814,O60755,0.13
O54814,P08911,0.08
O54814,P51685,0.36
O54814,P41144,0.23
O54814,P25021,0.1
O54814,P49019,0.12
O54814,P30968,0.07
O54814,P61168,0.07
O54814,P46092,0.15
O54814,P34968,0.07
O54814,P49682,0.21
O54814,P48748,0.15
O54814,P19328,0.08
O54814,Q924U1,0.12
O54814,Q9Y5N1,0.1
O54814,P35344,0.23
O54814,Q99527,0.15
O54814,P30555,0.22
O54814,O43614,0.11
O54814,O55193,0.55
O54814,P08172,0.07
O54814,Q92847,0.11
O54814,O43613,0.09
O54814,Q9GJU1,0.07
O54814,P31390,0.09
O54814,Q9BXA5,0.13
O54814,P18090,0.09
O54814,P41595,0.07
O54814,Q6XKD3,0.1
O54814,P48145,0.18
O54814,Q920H4,0.08
O54814,P51050,0.08
O54814,P51683,0.55
O54814,Q96G91,0.08
O54814,P10980,0.07
O54814,P08908,0.09
O54814,Q75Z89,0.09
O54814,P56481,0.09
O54814,P58406,0.1
O54814,P55085,0.14
O54814,O77700,0.08
O54814,P16177,0.13
O54814,P97266,0.1
O54814,Q9BDQ5,0.17
O54814,P32246,0.62
O54814,P51679,0.42
O54814,P79291,0.13
O54814,P28336,0.15
O54814,P25100,0.08
O54814,P30874,0.19
O54814,P29275,0.09
O54814,P48039,0.11
O54814,P33534,0.23
O54814,P04274,0.09
O54814,P51677,0.63
O54814,P08588,0.09
O54814,P30994,0.07
O54814,Q8TDS5,0.09
O54814,P34969,0.06
O54814,P30728,0.07
O54814,P70536,0.07
O54814,P19327,0.08
O54814,P28566,0.07
O54814,Q28838,0.09
O54814,P30560,0.08
O54814,Q969F8,0.12
O54814,Q9ERZ4,0.07
O54814,Q95136,0.08
O54814,Q28044,0.1
O54814,P30872,0.19
O54814,P30556,0.22
O54814,Q96P68,0.15
O54814,O70526,0.19
O54814,Q96LB2,0.06
O54814,P35462,0.07
O54814,P51681,0.52
O54814,P49288,0.11
O54814,Q02152,0.08
O54814,P22086,0.08
O54814,P16610,0.13
O54814,Q01718,0.08
O54814,P34981,0.11
O54814,P97583,0.14
O54814,Q61224,0.06
O54814,Q9NPC1,0.08
O54814,P35363,0.08
O54814,Q9EPX4,0.13
O54814,P25025,0.22
O54814,P28564,0.08
O54814,P32238,0.1
O54814,Q9Y271,0.16
O54814,P35351,0.18
O54814,P08173,0.07
O54814,P32240,0.07
O54814,Q8K418,0.12
O54814,P21730,0.16
O54814,Q64264,0.08
O54814,P30935,0.13
O54814,P32745,0.13
O54814,Q9HC97,0.1
O54814,P08482,0.07
O54814,P46616,0.09
O54814,P12657,0.07
O54814,P35367,0.09
O54814,P51678,0.93
O54814,Q9JII9,0.21
O54814,Q8MJ89,0.16
O54814,Q9WV26,0.23
O54814,Q99P50,0.12
O54814,Q3BCU0,0.16
O54814,Q62758,0.07
O54814,P32239,0.09
O54814,P47747,0.09
O54814,P21451,0.11
O54814,P35370,0.19
O54814,Q15761,0.12
O54814,Q64077,0.14
O54814,Q8VIH9,0.07
O54814,P08913,0.07
O54814,Q5DUB1,0.1
O54814,P23944,0.08
O54814,P32211,0.07
O54814,P33766,0.17
O54814,P30553,0.09
O54814,P21729,0.11
O54814,P29274,0.08
O54814,P32304,0.06
O54814,Q01337,0.08
O54814,P30548,0.1
O54814,P25106,0.19
O54814,P46002,0.14
O54814,Q969V1,0.12
O54814,Q9ESG6,0.11
O54814,P21728,0.07
O54814,O43603,0.16
O54814,P79350,0.18
O54814,P49285,0.11
O54814,P41597,0.5
O54814,P14842,0.08
O54814,Q6IYF9,0.14
O54814,O88319,0.07
O54814,P50130,0.08
O54814,Q9UKP6,0.1
O54814,P35463,0.1
O54814,P46626,0.08
O54814,P61169,0.07
O54814,P20288,0.07
O54814,P30559,0.08
O54814,P21556,0.15
O54814,P29089,0.23
O54814,Q99705,0.15
O54814,Q13304,0.18
O54814,Q15722,0.12
O54814,P41143,0.17
O54814,P52702,0.07
O54814,P33533,0.17
O54814,Q96P65,0.11
O54814,P07550,0.09
O54814,P25102,0.09
O54814,P30969,0.07
O54814,P30411,0.2
O54814,O15552,0.07
O54814,P35372,0.18
O54814,P50052,0.19
O54814,P30875,0.19
O54814,O08786,0.1
O54814,P31391,0.18
O54814,P31389,0.09
O54814,P32302,0.2
O54814,Q2NNR5,0.17
O54814,P25116,0.16
O54814,P25105,0.14
O54814,Q63931,0.1
O54814,Q80Z39,0.12
O54814,P13945,0.07
O54814,Q923Y8,0.08
O54814,Q5KSK8,0.2
O54814,P97639,0.16
O54814,Q8TDS4,0.13
O54814,Q60484,0.07
O54814,O70528,0.08
O54814,Q3U6B2,0.17
O54814,P49660,0.19
O54814,P30547,0.1
O54814,P49146,0.13
O54814,O54798,0.11
O54814,P28222,0.08
O54814,P30545,0.08
O54814,P43140,0.08
O54814,P54833,0.09
O54814,P35383,0.12
O54814,P28223,0.08
O54814,Q60614,0.09
O54814,Q15077,0.12
O54814,P25929,0.12
O54814,O88410,0.22
O54814,P20789,0.07
O54814,Q95254,0.11
O54814,Q9BDS8,0.62
O54814,Q9Y5Y4,0.11
O54814,P49681,0.17
O54814,P30098,0.11
O54814,Q9Y2T6,0.11
O54814,P26684,0.08
O54814,Q8TCW9,0.12
O54814,P30552,0.1
O54814,Q14330,0.11
O54814,P30680,0.19
O54814,P25104,0.23
O54814,P43114,0.07
O54814,Q9EP66,0.11
O54814,P18871,0.08
O54814,P30940,0.08
O54814,P11229,0.07
O54814,P21452,0.14
O54814,P42866,0.18
O54814,Q1ZY22,0.52
O54814,P61073,0.23
O54814,P35377,0.19
O54814,Q9Z2J6,0.1
O54814,P08100,0.07
O54814,P32247,0.12
O54814,O08725,0.12
O54814,P35348,0.08
O54814,Q29010,0.08
O54814,Q91ZY2,0.09
O54814,Q01717,0.12
O54814,P32300,0.17
O54814,P50129,0.09
O54814,P69332,0.21
O54814,O08565,0.22
O54814,P51684,0.3
O54814,P48302,0.1
O54814,Q96RJ0,0.07
O54814,P25103,0.1
O54814,P30550,0.09
O54814,P26255,0.07
O54814,P47901,0.07
O54814,P30518,0.07
O54814,P28565,0.06
O54814,Q8K4Z4,0.09
O54814,P25115,0.09
O54814,Q9H3N8,0.09
O54814,P34976,0.22
O54814,P34975,0.23
O54814,P61814,0.52
O54814,Q91ZY1,0.08
O54814,P97520,0.17
O54814,O43193,0.1
O54814,P25101,0.09
O54814,P18901,0.07
O54814,O08858,0.16
O54814,P41145,0.21
O54814,P35414,0.18
O54814,P51675,0.58
O54814,P30989,0.07
O54814,P14600,0.1
O54814,P33535,0.18
O54814,Q9TT96,0.09
O54814,P35368,0.08
O54814,P08909,0.07
O54814,Q923Y9,0.07
O54814,Q6W5P4,0.08
O54814,Q60613,0.06
O54814,P25095,0.23
O54814,P28335,0.07
O54814,P48974,0.07
O54814,Q9JI35,0.1
O54814,O08556,0.51
O54814,P35408,0.08
O54814,Q63371,0.12
O54814,Q9QYN8,0.1
O54814,Q61614,0.08
O54814,O70342,0.11
O54814,P30551,0.1
O54814,P29371,0.14
O54814,P51682,0.53
O54814,P14416,0.07
O54814,Q9MYW9,0.2
O54814,Q8JZL2,0.15
O54814,P08912,0.08
O54814,P28221,0.08
O54814,P47900,0.14
O54814,P49684,0.09
O54814,P21918,0.08
O54814,Q62805,0.13
O54814,Q9NS75,0.15
O54814,P24530,0.1
O54814,P02699,0.09
O54814,P32249,0.2
O54814,P51686,0.29
O54814,P49286,0.11
O54814,P20309,0.08
O54814,Q9ERZ3,0.08
P08200,O43837,0.13
P08200,P48735,0.06
P08200,P50213,0.21
P08200,P39126,0.67
P08200,Q56268,0.12
P08200,P51553,0.12
P59264,P31482,0.48
P59264,P04055,0.3
P59264,O15496,0.3
P59264,P00599,0.34
P59264,P14422,0.22
P59264,Q9QZT4,0.34
P59264,Q9BZM2,0.33
P59264,Q9WVF6,0.41
P59264,P00623,0.57
P59264,P97391,0.43
P59264,Q9NZK7,0.49
P59264,Q9QXX3,0.33
P59264,Q7T3S7,0.55
P59264,P04054,0.31
P59264,P14555,0.47
P59264,P00592,0.32
P59264,P15445,0.35
P59264,Q9Z0Y2,0.3
P59264,P39877,0.46
P59264,P14423,0.46
P59264,Q9QUL3,0.49
P59264,Q9UNK4,0.45
Q00975,Q9P0X4,0.06
Q00975,O35505,0.03
Q00975,Q14524,0.06
Q00975,Q9NY46,0.06
Q00975,Q99250,0.07
Q00975,P35499,0.06
Q00975,P04774,0.06
Q00975,Q01668,0.15
Q00975,Q01815,0.16
Q00975,O95180,0.05
Q00975,P04775,0.07
Q00975,P22002,0.16
Q00975,Q9Y5Y9,0.06
Q00975,O43497,0.06
Q00975,Q62968,0.06
Q00975,Q02294,0.86
Q00975,Q13698,0.15
Q00975,Q9EQ60,0.06
Q00975,Q13936,0.16
Q00975,O60840,0.16
Q00975,O08562,0.06
Q00975,Q02485,0.15
Q00975,P54282,0.52
Q00975,P08104,0.06
Q00975,Q9Z0Y8,0.06
Q00975,Q9UI33,0.06
Q00975,O00555,0.28
Q00975,P15389,0.06
Q00975,Q6QIY3,0.06
Q00975,O54898,0.06
Q00975,P35498,0.06
Q00975,Q07652,0.23
Q00975,O88420,0.06
Q00975,P27732,0.16
Q00975,Q15858,0.07
Q00975,Q01118,0.04
Q00975,P15381,0.16
Q00975,Q9UQD0,0.06
P22619,P84887,0.39
P41022,P07374,0.55
P03198,P28857,0.34
P03198,P09884,0.05
P03198,P04293,0.28
P03198,Q38087,0.03
P03198,P28340,0.19
P03198,P09252,0.27
P03198,Q779J8,0.04
P03198,P08546,0.16
P03198,P04292,0.28
P30557,P34978,0.21
P30557,P43119,0.18
P30557,P21453,0.06
P30557,P70263,0.13
P30557,P43116,0.15
P30557,Q62928,0.16
P30557,P43114,0.18
P30557,P43088,0.24
P30557,P35408,0.17
P30557,P37289,0.24
P30557,Q13258,0.13
P30557,P32240,0.18
P30557,P43253,0.16
P30557,P30987,0.2
P30557,P35375,0.11
P30557,P70597,0.1
P30557,Q62053,0.16
P30557,P34995,0.11
P30557,P43115,0.8
P30557,P21731,0.21
P33032,Q99500,0.16
P33032,P18825,0.08
P33032,P21728,0.1
P33032,O43603,0.09
P33032,P79350,0.08
P33032,P29276,0.13
P33032,P49285,0.1
P33032,P14842,0.08
P33032,P30939,0.09
P33032,P47898,0.09
P33032,P50130,0.1
P33032,P46626,0.08
P33032,P20288,0.08
P33032,P61169,0.08
P33032,P15823,0.15
P33032,P18841,0.14
P33032,P35365,0.1
P33032,Q8BLD9,0.12
P33032,P41143,0.07
P33032,Q61616,0.09
P33032,P33533,0.07
P33032,P21761,0.08
P33032,Q96P65,0.08
P33032,P52702,0.08
P33032,P28647,0.09
P33032,P07550,0.11
P33032,P25102,0.1
P33032,P70596,0.6
P33032,P19020,0.08
P33032,P30411,0.08
P33032,Q8K5E0,0.16
P33032,P35346,0.08
P33032,O08726,0.09
P33032,P35372,0.08
P33032,P10608,0.11
P33032,P30875,0.09
P33032,P31391,0.09
P33032,P22909,0.09
P33032,P41968,0.59
P33032,P25099,0.12
P33032,P41146,0.08
P33032,P13945,0.09
P33032,P35364,0.09
P33032,Q923Y8,0.09
P33032,P18130,0.13
P33032,P08483,0.08
P33032,P30873,0.09
P33032,Q60484,0.12
P33032,O70528,0.12
P33032,P18089,0.1
P33032,Q01338,0.09
P33032,P32305,0.1
P33032,P49660,0.1
P33032,Q9UBY5,0.16
P33032,P35345,0.82
P33032,P08911,0.07
P33032,P41144,0.09
P33032,Q9H228,0.14
P33032,P25021,0.1
P33032,Q01727,0.41
P33032,P61168,0.09
P33032,O95977,0.09
P33032,P28222,0.12
P33032,P30545,0.1
P33032,P34968,0.07
P33032,P30543,0.16
P33032,P47745,0.12
P33032,P43140,0.14
P33032,P19328,0.1
P33032,Q924U1,0.09
P33032,P54833,0.11
P33032,P28223,0.07
P33032,Q60614,0.14
P33032,O43614,0.08
P33032,P30966,0.09
P33032,Q9QZN9,0.12
P33032,Q92847,0.08
P33032,P47746,0.12
P33032,Q9GJU1,0.08
P33032,P51436,0.07
P33032,P49892,0.12
P33032,P31390,0.07
P33032,P18090,0.11
P33032,P49681,0.07
P33032,Q60612,0.12
P33032,Q920H4,0.07
P33032,Q92633,0.17
P33032,P08908,0.08
P33032,Q75Z89,0.08
P33032,P30680,0.1
P33032,Q7TQP3,0.12
P33032,O77700,0.1
P33032,P18871,0.09
P33032,P30940,0.09
P33032,P32245,0.59
P33032,P25100,0.14
P33032,P21452,0.1
P33032,P30874,0.09
P33032,P29275,0.14
P33032,P47936,0.12
P33032,P42866,0.08
P33032,P48039,0.11
P33032,P33534,0.08
P33032,P04274,0.11
P33032,P34972,0.12
P33032,P08588,0.1
P33032,P35377,0.08
P33032,P19327,0.08
P33032,P30728,0.08
P33032,P34969,0.1
P33032,P32247,0.08
P33032,O08725,0.08
P33032,P35348,0.13
P33032,P31388,0.09
P33032,P28566,0.07
P33032,Q01717,0.08
P33032,Q8TDV5,0.11
P33032,P32300,0.07
P33032,P50129,0.08
P33032,P32244,0.59
P33032,Q28838,0.09
P33032,P28190,0.12
P33032,Q969F8,0.09
P33032,Q96RJ0,0.07
P33032,Q95136,0.1
P33032,P21554,0.12
P33032,Q28044,0.11
P33032,P30872,0.09
P33032,O70526,0.07
P33032,P35462,0.08
P33032,P26255,0.11
P33032,Q9HBW0,0.14
P33032,P20272,0.12
P33032,P49288,0.09
P33032,Q8K4Z4,0.11
P33032,P28565,0.09
P33032,P22086,0.08
P33032,P30542,0.12
P33032,P16610,0.09
P33032,P25115,0.12
P33032,Q01718,0.41
P33032,P34981,0.08
P33032,Q61618,0.08
P33032,Q61224,0.1
P33032,P34975,0.08
P33032,P35363,0.08
P33032,P18901,0.09
P33032,O08858,0.07
P33032,P28564,0.11
P33032,P41145,0.07
P33032,P61794,0.17
P33032,Q13639,0.12
P33032,P21453,0.16
P33032,P33535,0.08
P33032,P08173,0.07
P33032,Q9TT96,0.12
P33032,P35368,0.14
P33032,P08909,0.08
P33032,Q923Y9,0.09
P33032,Q8K418,0.07
P33032,O95136,0.14
P33032,P79400,0.08
P33032,Q64264,0.08
P33032,Q60613,0.15
P33032,P50406,0.1
P33032,P0DMS8,0.09
P33032,Q9HC97,0.07
P33032,P28335,0.07
P33032,P46616,0.15
P33032,P35367,0.07
P33032,Q99P50,0.08
P33032,Q62758,0.12
P33032,P29371,0.07
P33032,P35370,0.08
P33032,P47747,0.1
P33032,Q01726,0.41
P33032,P14416,0.08
P33032,Q9MYW9,0.09
P33032,Q64077,0.09
P33032,P08913,0.09
P33032,P08912,0.07
P33032,P28221,0.11
P33032,P23944,0.13
P33032,P32211,0.07
P33032,P21918,0.1
P33032,Q62805,0.08
P33032,P29274,0.16
P33032,P20309,0.09
P33032,P49286,0.09
P33032,P32304,0.1
P33032,Q01337,0.08
P33032,Q9ERZ3,0.09
P01109,P01106,0.59
P01109,P61244,0.07
Q0WKM4,P43886,0.7
Q0WKM4,P07464,0.09
P51168,Q16515,0.11
P51168,O35240,0.1
P51168,P51170,0.31
P51168,P78348,0.11
P51168,P37088,0.25
P51168,Q9UHC3,0.09
P51168,P51172,0.21
P11511,Q04468,0.07
P11511,Q02318,0.06
P11511,P04798,0.06
P11511,P10611,0.07
P11511,Q09128,0.07
P11511,P22443,0.78
P11511,P49430,0.07
P11511,Q16850,0.08
P11511,P14137,0.06
P11511,P08686,0.07
P11511,Q02928,0.07
P11511,P20815,0.08
P11511,P11712,0.07
P11511,Q9FH76,0.07
P11511,P33261,0.06
P11511,P49264,0.07
P11511,Q07973,0.09
P11511,P10632,0.07
P11511,P33260,0.06
P11511,P05108,0.06
P11511,P08683,0.07
P11511,P19099,0.05
P11511,P10635,0.07
